volunteer_id,year,college_code,college_name,major_name,candidate_count,candidate_majors,curated_chosen_major,curated_resolution_status
3102-005,2025,3102,复旦大学(“双一流”建设高校),理科试验班(相辉学堂相辉计划),2,理科试验班; 理科试验班(相辉学堂),,
3104-012,2023,3104,华东理工大学(“双一流”建设高校),化学(教育部拔尖基地班),2,化学类; 应用化学,,
3104-012,2024,3104,华东理工大学(“双一流”建设高校),化学(教育部拔尖基地班),2,化学类; 应用化学(双学士学位项目),,
3105-013,2023,3105,华东师范大学(“双一流”建设高校),翻译(双学位),2,翻译; 翻译(与历史学专业双学位),,
3105-024,2023,3105,华东师范大学(“双一流”建设高校),金融学(双学位),2,金融学; 金融学类,,
3105-024,2025,3105,华东师范大学(“双一流”建设高校),金融学(双学位),2,金融学; 金融学类,,
3105-029,2023,3105,华东师范大学(“双一流”建设高校),统计学(双学位),2,统计学; 统计学类,,
3105-029,2025,3105,华东师范大学(“双一流”建设高校),统计学(双学位),2,统计学; 统计学类,,
3109-010,2023,3109,上海财经大学(“双一流”建设高校),"经济学(经济学,数量经济,双学士学位)",3,"经济学; 经济学(中外合作办学)(数量经济); 经济学(双学士学位,经济学院和数学学院培养)",,
3109-010,2024,3109,上海财经大学(“双一流”建设高校),"经济学(经济学,数量经济,双学士学位)",3,经济学; 经济学(双学士学位); 经济学(数量经济),,
3109-010,2025,3109,上海财经大学(“双一流”建设高校),"经济学(经济学,数量经济,双学士学位)",3,"经济学; 经济学(双学士学位,经济学和信息与计算科学); 经济学(数量经济)",,
3110-503,2023,3110,上海城建职业学院,建筑工程技术(高本贯通),3,古建筑工程技术; 建筑工程技术; 装配式建筑工程技术,,
3110-503,2024,3110,上海城建职业学院,建筑工程技术(高本贯通),3,古建筑工程技术; 建筑工程技术; 装配式建筑工程技术,,
3110-503,2025,3110,上海城建职业学院,建筑工程技术(高本贯通),2,古建筑工程技术; 建筑工程技术,,
3112-013,2025,3112,上海大学(“双一流”建设高校),电子信息工程(卓越工程师班),2,信息工程(中外合作办学); 电子信息工程,,
3119-010,2023,3119,上海对外经贸大学,商务英语,2,英语; 英语(中外合作办学)(中英合作),,
3119-010,2024,3119,上海对外经贸大学,商务英语,2,英语; 英语(中外合作办学)(中英合作),,
3128-527,2023,3128,上海济光职业技术学院,"建设工程管理(房屋建筑方向,高本贯通)",2,建设工程管理(房屋建筑方向); 建设工程管理(高本贯通),,
3128-527,2024,3128,上海济光职业技术学院,"建设工程管理(房屋建筑方向,高本贯通)",2,"建设工程管理(房屋建筑方向); 建设工程管理(高本贯通,房屋建筑方向)",,
3130-510,2024,3130,上海建桥学院,商务日语,3,商务日语(中日学分互认); 日语; 日语(中日学分互认),,
3136-006,2023,3136,上海理工大学,英语,2,英语(中外合作办学)(中美合作); 英语(科技翻译),,
3143-017,2024,3143,上海杉达学院,旅游管理(会展策划与管理方向),2,旅游管理; 旅游管理(双语教学),,
3143-017,2025,3143,上海杉达学院,旅游管理(会展策划与管理方向),2,旅游管理; 旅游管理(双语教学),,
3151-019,2023,3151,上海外国语大学(“双一流”建设高校),商务英语(双学位),4,商务英语; 英语; 英语(国际政治双学位); 英语(教育),,
3151-019,2024,3151,上海外国语大学(“双一流”建设高校),商务英语(双学位),3,商务英语; 英语(多元方向); 英语(教育),,
3151-019,2025,3151,上海外国语大学(“双一流”建设高校),商务英语(双学位),3,商务英语; 英语(多元方向); 英语(教育),,
3152-020,2023,3152,上海外国语大学贤达经济人文学院,商务英语,2,英语; 英语(商务方向),,
3209-038,2023,3209,河海大学(“双一流”建设高校),工程力学(徐芝纶拔尖人才培养班),2,工程力学; 工程力学(大禹徐芝纶班),,
3217-010,2023,3217,无锡太湖学院,英语(数智人文创新班),2,商务英语; 英语,,
3217-010,2024,3217,无锡太湖学院,英语(数智人文创新班),2,商务英语; 英语,,
3246-019,2025,3246,南京航空航天大学(“双一流”建设高校),信息与计算科学(信息与计算科学+人工智能双学士学位培养项目),2,信息与计算科学; 信息与计算科学(信息与计算科学+人工智能双学士学位),,
3315-006,2024,3315,中国矿业大学(“双一流”建设高校),机械类,2,机械类,机械类,not_unique
3315-010,2024,3315,中国矿业大学(“双一流”建设高校),安全科学与工程类,2,安全科学与工程类,安全科学与工程类,not_unique
3315-012,2024,3315,中国矿业大学(“双一流”建设高校),数学类,2,数学类,数学类,not_unique
3315-016,2024,3315,中国矿业大学(“双一流”建设高校),工商管理类,2,工商管理类,工商管理类,not_unique
3316-004,2023,3316,中国药科大学(“双一流”建设高校),中药学(拔尖创新班),2,中药学类; 药学(拔尖创新班),,
3316-004,2024,3316,中国药科大学(“双一流”建设高校),中药学(拔尖创新班),3,中药学类; 药学(拔尖创新班); 药学(杰出药学家实验班),,
3407-004,2023,3407,安徽信息工程学院,自动化,2,机械设计制造及其自动化; 电气工程及其自动化,,
3407-004,2024,3407,安徽信息工程学院,自动化,2,机械设计制造及其自动化; 电气工程及其自动化,,
3407-004,2025,3407,安徽信息工程学院,自动化,2,机械设计制造及其自动化; 电气工程及其自动化,,
3431-003,2023,3431,安徽第二医学院,护理学,2,护理; 护理(口腔护理),,
3431-003,2024,3431,安徽第二医学院,护理学,2,护理; 护理(口腔护理),,
3431-003,2025,3431,安徽第二医学院,护理学,2,护理; 护理(口腔护理),,
3434-003,2023,3434,安徽中医药大学,药学,2,中药学; 次药学,,
3445-003,2023,3445,合肥工业大学(“双一流”建设高校),智能车辆工程(创新实验班),2,智能车辆工程; 车辆工程,,
3445-032,2025,3445,合肥工业大学(“双一流”建设高校),信息管理与信息系统(智能系统及管理),2,信息管理与信息系统; 信息管理与信息系统(智能科学创新实验班),,
3523-032,2023,3523,华侨大学,经济学,2,"经济学类; 经济学类(中美121双学位班,可接轨CFA金融分析师)",,
3523-047,2023,3523,华侨大学,工商管理(数智管理与商业分析方向),2,"工商管理类; 工商管理类(中美121双学位班,可接轨ACCA国际注会)",,
3523-053,2023,3523,华侨大学,经济学类(中美121双学位班),2,"经济学类; 经济学类(中美121双学位班,可接轨CFA金融分析师)",,
3523-053,2024,3523,华侨大学,经济学类(中美121双学位班),2,"经济学; 经济学类(中美121双学位班,可接轨CFA金融分析师)",,
