volunteer_id,year,college_code,college_name,major_name,history_college_name,history_major_name,history_lowest_score,history_lowest_rank,history_source_page,match_level
3263-029,2025,3263,南京特殊教育师范学院,听力与言语康复学(中外合作办学),南京特殊教育师范学院,听力与言语康复学,530,136951.0,146,base
3267-018,2023,3267,南京信息工程大学(“双一流”建设高校),电子信息工程,南京信息工程大学,信息工程,638,20023.0,139,contains_unique
3267-018,2024,3267,南京信息工程大学(“双一流”建设高校),电子信息工程,南京信息工程大学,信息工程,635,21783.0,144,contains_unique
3267-026,2023,3267,南京信息工程大学(“双一流”建设高校),光电信息科学与工程(双学士学位复合型人才培养项目),南京信息工程大学,光电信息科学与工程,635,22060.0,140,base
3267-026,2024,3267,南京信息工程大学(“双一流”建设高校),光电信息科学与工程(双学士学位复合型人才培养项目),南京信息工程大学,光电信息科学与工程,633,22934.0,144,base
3267-026,2025,3267,南京信息工程大学(“双一流”建设高校),光电信息科学与工程(双学士学位复合型人才培养项目),南京信息工程大学,光电信息科学与工程,631,22423.0,147,base
3273-017,2025,3273,南京邮电大学(“双一流”建设高校),应用物理学(双学士学位复合型人才培养项目),南京邮电大学,应用物理学,637,18148.0,148,base
3273-018,2025,3273,南京邮电大学(“双一流”建设高校),物流管理(双学士学位复合型人才培养项目),南京邮电大学,物流管理,635,19687.0,148,base
3273-019,2025,3273,南京邮电大学(“双一流”建设高校),信息管理与信息系统(双学士学位复合型人才培养项目),南京邮电大学,信息管理与信息系统,635,19807.0,148,base
3275-003,2023,3275,南京中医药大学(“双一流”建设高校),中西医临床医学,南京中医药大学,临床医学(老年医学),622,32073.0,141,contains_unique
3275-003,2024,3275,南京中医药大学(“双一流”建设高校),中西医临床医学,南京中医药大学,临床医学,621,32486.0,146,contains_unique
3275-007,2023,3275,南京中医药大学(“双一流”建设高校),药学(中外合作办学),南京中医药大学,中药学类,602,50581.0,141,contains_unique
3275-007,2024,3275,南京中医药大学(“双一流”建设高校),药学(中外合作办学),南京中医药大学,中药学类,608,44767.0,146,contains_unique
3275-007,2025,3275,南京中医药大学(“双一流”建设高校),药学(中外合作办学),南京中医药大学,中药学,600,51520.0,148,contains_unique
3275-008,2024,3275,南京中医药大学(“双一流”建设高校),医学信息工程(中外合作办学),南京中医药大学,医学信息工程,611,42245.0,146,base
3275-008,2025,3275,南京中医药大学(“双一流”建设高校),医学信息工程(中外合作办学),南京中医药大学,医学信息工程,608,43128.0,148,base
3281-032,2023,3281,苏州大学(“双一流”建设高校),药学(中外合作办学),苏州大学,药学(省拔尖人才培养基地),654,10659.0,143,base
3306-005,2025,3306,扬州大学,物理学(含师范),扬州大学,物理学,611,40133.0,153,base
3315-004,2023,3315,中国矿业大学(“双一流”建设高校),自动化,中国矿业大学,电气工程及其自动化,647,14543.0,148,contains_unique
3315-004,2024,3315,中国矿业大学(“双一流”建设高校),自动化,中国矿业大学,电气工程及其自动化,647,14231.0,152,contains_unique
3325-005,2024,3325,中国人民大学(苏州校区)(“双一流”建设高校),传播学(中外合作办学)(国际传播方向),中国人民大学( 苏州校区),传播学(中外合作办学)(国际传播拔尖创新班),662,7539.0,154,base
